id,email,username,first_name,last_name,balance,profile_pic
eecd9c0b-3165-4a9d-9c45-8f5036eb3c71,hvang@example.com,chris0,Allison,Anderson,966,
e634d45c-5c40-4dbf-ac2d-a22109c5ef67,donald28@example.com,chris1,Angelica,Jones,746,
088e2596-971b-4011-8b22-cd448a38582c,gmercado@example.org,chris2,Justin,Hernandez,676,
2b6b464d-3516-4110-98b2-69d4925328db,kyle57@example.net,chris3,Thomas,Bailey,869,
3231f28f-5e5e-4ba8-a9f4-c907cb668f6b,averygabrielle@example.org,chris4,John,Kennedy,702,
4b00ab3b-4581-4efa-a207-b0f0c4618322,kristin49@example.org,chris5,Chase,Morris,471,
7af0d56e-89cb-496e-bb50-8c1b7dcfadbe,greentravis@example.org,chris6,Isabella,Holder,526,
f465efdf-ec8b-4d7d-b71f-a25643043538,smoore@example.org,chris7,Jasmine,Macias,640,
4a4d07cc-54ff-4014-9b51-754a5f17eee3,patricianguyen@example.net,chris8,Michelle,Dean,79,
1119a130-8075-4f23-9b33-26be159fb2bf,dennis66@example.net,chris9,David,Quinn,842,
0c862e5d-96dd-4d77-be9d-1388a62a3f0b,megan95@example.net,chris10,Julie,Mckenzie,387,
95d6087e-95e9-4796-8de9-6133fb080dc0,wellsrichard@example.org,chris11,Lisa,Hartman,691,
8c0e6342-1067-42ca-9544-fbae7388fdeb,virginia74@example.net,chris12,Cynthia,Guerrero,597,
8bb7c00e-59ff-4596-9ea6-b1dd55556364,coreymurray@example.com,chris13,Matthew,Parks,589,
6e5ce403-1dc4-490f-9b26-edb20cf30c9d,jamesjackson@example.org,chris14,Richard,Gomez,858,
58082844-20d6-4910-9be0-88529d4760d1,greenmaria@example.com,chris15,Theresa,Harris,386,
9b25755a-5e32-463a-8f39-251ccd7afcd3,jgreen@example.net,chris16,Angie,Stewart,503,
97d8dc4b-7e41-490b-ae18-e8b86539a551,theodore31@example.com,chris17,Beth,Wood,732,
e89fac4d-ea89-4905-8627-a47f7a7555be,james94@example.net,chris18,Andrew,Daugherty,955,
f0fc2d33-fd51-4ee7-871d-05330ee975ea,brookemartin@example.com,chris19,Spencer,Brock,489,
43e6b764-5685-4321-b632-0718a22d1382,achrisp05@gmail.com,chris,Chris,Poandy,1090,
